Agency,Region,lake,LFENZID,Hydrological Year,TLI,MixingPattern,GeomorphicType
Auckland Council,auckland,Lake Rototoa,50270,2010,3.2,Stratified,Aeolian
Auckland Council,auckland,Lake Rototoa,50270,2011,3.2,Stratified,Aeolian
Auckland Council,auckland,Lake Rototoa,50270,2012,3.3,Stratified,Aeolian
Auckland Council,auckland,Lake Rototoa,50270,2013,3,Stratified,Aeolian
Auckland Council,auckland,Lake Rototoa,50270,2015,3.2,Stratified,Aeolian
Auckland Council,auckland,Lake Rototoa,50270,2016,3.3,Stratified,Aeolian
Auckland Council,auckland,Lake Rototoa,50270,2017,3.5,Stratified,Aeolian
Auckland Council,auckland,Lake Rototoa,50270,2018,3.4,Stratified,Aeolian
Auckland Council,auckland,Lake Rototoa,50270,2019,3.3,Stratified,Aeolian
Auckland Council,auckland,Lake Rototoa,50270,2020,3.2,Stratified,Aeolian
Auckland Council,auckland,Lake Rototoa,50270,2021,2.9,Stratified,Aeolian
Auckland Council,auckland,Lake Rototoa,50270,2022,3.2,Stratified,Aeolian
Bay of Plenty Regional Council,bay of plenty,Lake Rotorua at Site 5 (Integrated),11133,2016,4.3,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotorua at Site 2 (Integrated),11133,2016,4.3,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotorua at Site 5 (Integrated),11133,2017,4,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotorua at Site 2 (Integrated),11133,2017,4,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotorua at Site 5 (Integrated),11133,2018,4.1,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotorua at Site 2 (Integrated),11133,2018,4.1,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotorua at Site 5 (Integrated),11133,2019,4.2,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotorua at Site 2 (Integrated),11133,2019,4.2,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotorua at Site 5 (Integrated),11133,2020,4,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotorua at Site 2 (Integrated),11133,2020,4,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotorua at Site 5 (Integrated),11133,2021,4.2,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotorua at Site 2 (Integrated),11133,2021,4.2,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotorua at Site 5 (Integrated),11133,2022,4.3,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotorua at Site 2 (Integrated),11133,2022,4.3,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okaro at Site 1 (Integrated),14290,2009,5.3,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okaro at Site 1 (Integrated),14290,2010,4.5,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okaro at Site 1 (Integrated),14290,2011,5.3,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okaro at Site 1 (Integrated),14290,2012,5.4,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okaro at Site 1 (Integrated),14290,2013,5.4,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okaro at Site 1 (Integrated),14290,2014,4.4,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okaro at Site 1 (Integrated),14290,2015,4.4,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okaro at Site 1 (Integrated),14290,2016,4.3,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okaro at Site 1 (Integrated),14290,2017,5.1,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okaro at Site 1 (Integrated),14290,2018,5.1,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okaro at Site 1 (Integrated),14290,2019,5.3,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okaro at Site 1 (Integrated),14290,2020,4.4,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okaro at Site 1 (Integrated),14290,2021,4.4,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okaro at Site 1 (Integrated),14290,2022,4.7,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Tikitapu at Site 1 (Integrated),15312,2010,3.1,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Tikitapu at Site 1 (Integrated),15312,2011,2.7,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Tikitapu at Site 1 (Integrated),15312,2012,2.8,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Tikitapu at Site 1 (Integrated),15312,2013,2.7,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Tikitapu at Site 1 (Integrated),15312,2014,2.7,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Tikitapu at Site 1 (Integrated),15312,2015,2.9,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Tikitapu at Site 1 (Integrated),15312,2016,2.9,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Tikitapu at Site 1 (Integrated),15312,2017,2.6,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Tikitapu at Site 1 (Integrated),15312,2018,2.9,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Tikitapu at Site 1 (Integrated),15312,2019,3,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Tikitapu at Site 1 (Integrated),15312,2020,2.7,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Tikitapu at Site 1 (Integrated),15312,2021,3.1,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Tikitapu at Site 1 (Integrated),15312,2022,2.6,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okareka at Site 1 (Integrated),15325,2010,3.2,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okareka at Site 1 (Integrated),15325,2011,3.2,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okareka at Site 1 (Integrated),15325,2012,3.3,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okareka at Site 1 (Integrated),15325,2013,3.3,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okareka at Site 1 (Integrated),15325,2014,3.2,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okareka at Site 1 (Integrated),15325,2015,3.2,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okareka at Site 1 (Integrated),15325,2016,3.1,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okareka at Site 1 (Integrated),15325,2017,3.3,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okareka at Site 1 (Integrated),15325,2018,3.4,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okareka at Site 1 (Integrated),15325,2019,3.2,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okareka at Site 1 (Integrated),15325,2020,2.9,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okareka at Site 1 (Integrated),15325,2021,3.2,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Okareka at Site 1 (Integrated),15325,2022,3.2,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rerewhakaaitu at Site 1 (Integrated),40071,2010,3.9,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rerewhakaaitu at Site 1 (Integrated),40071,2011,3.7,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rerewhakaaitu at Site 1 (Integrated),40071,2012,3.7,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rerewhakaaitu at Site 1 (Integrated),40071,2013,3.5,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rerewhakaaitu at Site 1 (Integrated),40071,2014,3.4,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rerewhakaaitu at Site 1 (Integrated),40071,2015,3.3,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rerewhakaaitu at Site 1 (Integrated),40071,2016,3.4,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rerewhakaaitu at Site 1 (Integrated),40071,2017,3.4,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rerewhakaaitu at Site 1 (Integrated),40071,2018,3.9,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rerewhakaaitu at Site 1 (Integrated),40071,2019,4.1,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rerewhakaaitu at Site 1 (Integrated),40071,2020,3.5,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rerewhakaaitu at Site 1 (Integrated),40071,2021,3.3,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rerewhakaaitu at Site 1 (Integrated),40071,2022,3.1,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoma at Site 1 (Integrated),40102,2010,2.1,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoma at Site 1 (Integrated),40102,2011,2.2,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoma at Site 1 (Integrated),40102,2012,2.4,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoma at Site 1 (Integrated),40102,2013,2.3,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoma at Site 1 (Integrated),40102,2014,2.3,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoma at Site 1 (Integrated),40102,2015,2.5,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoma at Site 1 (Integrated),40102,2016,2.2,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoma at Site 1 (Integrated),40102,2017,2.1,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoma at Site 1 (Integrated),40102,2018,2.4,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoma at Site 1 (Integrated),40102,2019,2.4,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoma at Site 1 (Integrated),40102,2020,2.3,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoma at Site 1 (Integrated),40102,2021,2.3,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoma at Site 1 (Integrated),40102,2022,2.5,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoehu at Site 3 (Integrated),40188,2010,4.5,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoehu at Site 3 (Integrated),40188,2011,4.1,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoehu at Site 3 (Integrated),40188,2012,4.1,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoehu at Site 3 (Integrated),40188,2013,3.9,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoehu at Site 3 (Integrated),40188,2014,3.9,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoehu at Site 3 (Integrated),40188,2015,4.4,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoehu at Site 3 (Integrated),40188,2016,4.4,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoehu at Site 3 (Integrated),40188,2017,4.5,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoehu at Site 3 (Integrated),40188,2018,4.6,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoehu at Site 3 (Integrated),40188,2019,5.2,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoehu at Site 3 (Integrated),40188,2020,4.4,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoehu at Site 3 (Integrated),40188,2021,4,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoehu at Site 3 (Integrated),40188,2022,4.3,Polymictic,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2010,3.9,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2010,3.9,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2010,3.9,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2011,3.9,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2011,3.9,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2011,3.9,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2011,4.4,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2011,4.4,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2011,4.4,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2012,3.7,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2012,3.7,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2012,3.7,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2012,4.4,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2012,4.4,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2012,4.4,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2013,3.5,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2013,3.5,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2013,3.5,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2013,3.9,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2013,3.9,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2013,3.9,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2014,3.4,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2014,3.4,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2014,3.4,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2014,4.3,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2014,4.3,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2014,4.3,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2015,3.7,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2015,3.7,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2015,3.7,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2015,4.8,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2015,4.8,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2015,4.8,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2016,3.6,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2016,3.6,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2016,3.6,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2016,3.8,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2016,3.8,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2016,3.8,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2016,4.3,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2016,4.3,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2016,4.3,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2017,3.6,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2017,3.6,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2017,3.6,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2017,3.8,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2017,3.8,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2017,3.8,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2017,4.4,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2017,4.4,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2017,4.4,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2018,3.7,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2018,3.7,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2018,3.7,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2018,3.9,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2018,3.9,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2018,3.9,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2018,4.3,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2018,4.3,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2018,4.3,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2019,3.6,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2019,3.6,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2019,3.6,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2019,3.8,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2019,3.8,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2019,3.8,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2019,4.5,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2019,4.5,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2019,4.5,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2020,3.6,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2020,3.6,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2020,3.6,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2020,3.7,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2020,3.7,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2020,3.7,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2020,4.1,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2020,4.1,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2020,4.1,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2021,3.6,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2021,3.6,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2021,3.6,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2021,3.7,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2021,3.7,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2021,3.7,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2021,4.5,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2021,4.5,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2021,4.5,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2022,3.7,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2022,3.7,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2022,3.7,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Okawa Bay (Integrated),54730,2022,3.8,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 4 (Integrated),54730,2022,3.8,Stratified,Volcanic
Bay of Plenty Regional Council,bay of plenty,Lake Rotoiti at Site 3 (Integrated),54730,2022,3.8,Stratified,Volcanic
